Recipient Company,Recipient Name,Recipient Address1,Recipient Address2,Recipient Address3,Recipient Country Code,Recipient State,Recipient City,Recipient Postal Code,Recipient Phone,Recipient Phone Dial Code,Recipient Email,Description,Weight Unit,Weight(s),Dimension(s),Customer Reference,No. of Packages,Is Residential Collection?,Customs Value,Customs Currency,Unit Type,No Of Units,Description/Comodity,Is TailGate Delivery?,Is TailGate Collection?,Is Residential Delivery?,Is Stackable?,Shipment Package Type,Transit Insurance Required ?,Transit Insurance Commodity,Transit Insurance Commodity Description,Transit Insurance Value of Goods (AUD),Sub Package Type,Is PO Box Delivery?,TNT Do Not ATL?,Is Dangerous Goods?,DG UN Number,DG Package Type,DG Package Group,DG Technical Name,DG Class Division,Authority To Leave?,Hand Unload,FedEx Signature Type,SkuNumber1,SkuNumber2,SkuNumber3,SkuNumber4,SkuNumber5,SkuNumber6
Equal to 90cm length 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,90x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than 90cm length 1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10,91x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Equal to 50cm width 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10,10x50x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Greater than 50cm width 1 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10,10x51x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,5522356,,,,,
Equal to 50cm height 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,10x10x50,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than 50cm height  1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10,10x10x51,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Equal to 18kg dead weight 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,18,10x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Morethan 18kg dead weight 1 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,18.1,10x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,5522356,,,,,
Equal to 90cm length 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,90x10x10|90x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than 90cm length 2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10|10,91x10x10|91x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Equal to 50cm width 2 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10|10,10x50x10|10x50x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Greater than 50cm width 2 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10|10,10x51x10|10x51x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,5522356,,,,,
Equal to 50cm height  2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,10x10x50|10x10x50,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than 50cm height  2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10|10,10x10x51|10x10x51,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Equal to 18kg dead weight  2 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,18|18,10x10x10|10x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Morethan 18kg dead weight  2 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,18.1|18.1,10x10x10|10x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,5522356,,,,,
Equal to 90cm length 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,90x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than 90cm length 1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10,91x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
